author,book,original,adapted
Пушкин,Пиковая дама,"Народ бегал за нею, чтоб увидеть la Vénus moscovite; Ришелье за нею волочился, и бабушка уверяет, что он чуть было не застрелился от ее жестокости.","Народ бегал за нею, чтоб увидеть la Venus moscovite из-за ее жестокости."
Пушкин,Пиковая дама,В то время дамы играли в фараон.,В то время дамы увлекались карточной игрой.
Пушкин,Пиковая дама,днажды при дворе она проиграла на слово герцогу Орлеанскому что-то очень много.,Однажды при дворе она проиграла герцогу Орлеанскому очень много денег.
Пушкин,Пиковая дама,"риехав домой, бабушка, отлепливая мушки с лица и отвязывая фижмы, объявила дедушке о своем проигрыше и приказала заплатить.","Приехав домой, бабушка, раздеваясь, объявила дедушке о своем проигрыше и приказала заплатить."
Пушкин,Пиковая дама,"Покойный дедушка, сколько я помню, был род бабушкина дворецкого.","Покойный дедушка, насколько я помню, во всем слушался бабушку."
Пушкин,Пиковая дама,"Он ее боялся, как огня; однако, услышав о таком ужасном проигрыше, он вышел из себя, принес счеты, доказал ей, что в полгода они издержали полмиллиона, что под Парижем нет у них ни подмосковной, ни саратовской деревни, и начисто отказался от платежа.","Он ее боялся, как огня; однако, услышав о таком ужасном проигрыше, он вышел из себя, принес счета, доказал ей, что за полгода они потратили полмиллиона, что под Парижем нет у них ни подмосковной, ни саратовской деревни, и совсем отказался платить."
Пушкин,Пиковая дама,"Бабушка дала ему пощечину и легла спать одна, в знак своей немилости.","Бабушка рассердилась и легла спать одна."
Пушкин,Пиковая дама,"На другой день она велела позвать мужа, надеясь, что домашнее наказание над ним подействовало, но нашла его непоколебимым.","На другой день она потребовала позвать мужа, надеясь, что домашнее наказание подействовало, но он не изменил своего решения."
Пушкин,Пиковая дама,Куда! дедушка бунтовал.,Нет! Дедушку нельзя было убедить.
Пушкин,Пиковая дама," Нет, да и только!","Нет, да и только!"
Пушкин,Пиковая дама,"Бабушка не знала, что делать.","Бабушка не знала, что делать."
Пушкин,Пиковая дама,С нею был коротко знаком человек очень замечательный.,С ней был хорошо знаком один очень известный человек.
Пушкин,Пиковая дама,"ы слышали о графе Сен-Жермене, о котором рассказывают так много чудесного.","Вы слышали о графе Сен Жермене, о котором рассказывают так много чудесного."
Пушкин,Пиковая дама,"Вы знаете, что он выдавал себя за вечного жида, за изобретателя жизненного эликсира и философского камня, и прочая.","Вы знаете, что он изображал из себя изобретателя философского камня."
Пушкин,Пиковая дама,"Над ним смеялись, как над шарлатаном, а Казанова в своих Записках говорит, что он был шпион; впрочем, Сен-Жермен, несмотря на свою таинственность, имел очень почтенную наружность и был в обществе человек очень любезный. ","Над ним смеялись, а Казанова в своих Записках говорит, что он был шпионом; однако Сен Жермен, несмотря на свою таинственность, был в обществе человеком очень вежливым."
Пушкин,Пиковая дама,"Бабушка до сих пор любит его без памяти и сердится, если говорят об нем с неуважением.",Бабушка до сих пор любит его без памяти
Толстой,Анна Каренина,"Все счастливые семьи похожи друг на друга, каждая несчастливая семья несчастлива по-своему.","Все счастливые семьи похожи друг на друга, каждая несчастливая семья несчастлива по-своему."
Толстой,Анна Каренина,Все смешалось в доме Облонских.,Все смешалось в доме Облонских.
Толстой,Анна Каренина,"Жена узнала, что муж был в связи с бывшею в их доме француженкою-гувернанткой, и объявила мужу, что не может жить с ним в одном доме.","Жена узнала, что у мужа роман с бывшей в их доме француженкой-гувернанткой и объявила мужу, что не может жить с ним в одном доме."
Толстой,Анна Каренина,"Положение это продолжалось уже третий день и мучительно чувствовалось и самими супругами, и всеми членами семьи, и домочадцами.","Положение это продолжалось уже третий день и чувствовалось и самими Облонскими, и всеми членами семьи, и слугами."
Толстой,Анна Каренина,"Жена не выходила из своих комнат, мужа третий день не было дома. ","Жена не выходила из своих комнат, мужа третий день не было дома."
Толстой,Анна Каренина,"Дети бегали по всему дому, как потерянные; англичанка поссорилась с экономкой и написала записку приятельнице, прося приискать ей новое место; повар ушел вчера со двора, во время самого обеда; черная кухарка и кучер просили расчета","Дети бегали по всему дому, один слуга ушел еще вчера; другие слуги тоже хотели уйти."
Толстой,Анна Каренина,"На третий день после ссоры князь Степан Аркадьич Облонский - Стива, как его звали в свете, - в обычный час, то есть в восемь часов утра, проснулся не в спальне жены, а в своем кабинете, на сафьянном диване.","На третий день после ссоры князь Степан Аркадьич Облонский - Стива, как его звали все знакомые, проснулся не в спальне жены, а в своем кабинете."
Толстой,Анна Каренина,"Он повернул свое полное, выхоленное тело на пружинах дивана, как бы желая опять заснуть надолго, с другой стороны крепко обнял подушку и прижался к ней щекой; но вдруг вскочил, сел на диван и открыл глаза.","Он повернулся на диване, как бы желая опять заснуть надолго, но вдруг быстро встал и открыл глаза."
Толстой,Анна Каренина,"И тут он вспомнил вдруг, как и почему он спит не в спальне жены, а в кабинете.","И тут вспомнил, почему спит в кабинете."
Толстой,Анна Каренина,"«Ах, ах, ах! Ааа!..» - замычал он, вспоминая все, что было и его воображению представились опять все подробности ссоры с женою, вся безвыходность его положения и мучительнее всего собственная вина его.","Он вспомнил опять все подробности ссоры с женой, всю безвыходность своего положения и тяжелее всего свою вину."
Толстой,Анна Каренина,"Неприятнее всего была та первая минута, когда он, вернувшись из театра, веселый и довольный, с огромною грушей для жены в руке, не нашел жены в гостиной; к удивлению, не нашел ее и в кабинете и, наконец, увидал ее в спальне с несчастною, открывшею все, запиской в руке.","Неприятнее всего была первая минута, когда он, вернувшись из театра, веселый и довольный, не нашел жены в гостиной; к удивлению, не нашел ее и в кабинете и, наконец, увидел ее в спальне."
Толстой,Анна Каренина,"на, эта вечно озабоченная, и хлопотливая, и недалекая, какою он считал ее, Долли, неподвижно сидела с запиской в руке и с выражением ужаса, отчаяния и гнева смотрела на него.","Она, эта всегда озабоченная и недалекая, какой он считал ее, Долли, неподвижно сидела с запиской в руке и с выражением ужаса смотрела на него."
Толстой,Анна Каренина,"Что это? это? - спрашивала она, указывая на записку.","– И вот возьми телеграмму, передай Дарье Александровне, что они скажут."
Толстой,Анна Каренина,"Он не сумел приготовить свое лицо к тому положению, в которое он становился перед женой после открытия его вины.",Он не сумел приготовить свое лицо к этому положению.
Толстой,Анна Каренина,"Вместо того чтоб оскорбиться, отрекаться, оправдываться, просить прощения, оставаться даже равнодушным - все было бы лучше того, что он сделал! - его лицо совершенно невольно («рефлексы головного мозга», - подумал Степан Аркадьич, который любил физиологию), совершенно невольно вдруг улыбнулось привычною, доброю и потому глупою улыбкой.","Вместо того чтобы оправдываться, просить прощения, оставаться даже равнодушным - его лицо случайно вдруг улыбнулось привычной, доброй и потому глупой улыбкой."
Толстой,Анна Каренина,"Увидав эту улыбку, Долли вздрогнула, как от физической боли, разразилась, со свойственною ей горячностью, потоком жестоких слов и выбежала из комнаты.","Увидав эту улыбку, Долли стало плохо, как от физической боли, и она выбежала из комнаты."
Толстой,Анна Каренина,С тех пор она не хотела видеть мужа.,"С этой минуты она не хотела видеть мужа."
Толстой,Анна Каренина,"И, заметив полосу света, пробившуюся сбоку одной из суконных стор, он весело скинул ноги с дивана, отыскал ими шитые женой (подарок ко дню рождения в прошлом году), обделанные в золотистый сафьян туфли, и по старой, девятилетней привычке, не вставая, потянулся рукой к тому месту, где в спальне у него висел халат.","Опустил ноги с дивана, надел вышитые женой туфли и по старой девятилетней привычке, не вставая, протянул руку к тому месту, где в спальне у него висел халат."
Толстой,Анна Каренина,Степан Аркадьич был человек правдивый в отношении к себе самому.,Степан Аркадьич был человек честный в отношении к себе самому.
Толстой,Анна Каренина,"Он не мог обманывать себя и уверять себя, что он раскаивается в своем поступке.","Он не мог обманывать себя и говорить себе, что он раскаивается в своем поступке. "
Толстой,Анна Каренина,"Он не мог раскаиваться в том, что он, тридцатичетырехлетний, красивый, влюбчивый человек, не был влюблен в жену, мать пяти живых и двух умерших детей, бывшую только годом моложе его.","Он не мог теперь раскаиваться в том, что он, тридцатичетырехлетний, красивый, влюбчивый человек, не был влюблен в жену, мать пяти живых и двух умерших детей, бывшую только годом моложе его."
Толстой,Анна Каренина,"Он раскаивался только в том, что не умел лучше скрыть от жены свой роман.","Он раскаивался только в том, что не умел лучше скрыть от жены свой роман."
Толстой,Анна Каренина,"Ему даже казалось, что она, истощенная, состарившаяся, уже некрасивая женщина и ничем не замечательная, простая, только добрая мать семейства, по чувству справедливости должна быть снисходительна. ","Он думал, что жена - старая, уже некрасивая женщина и ничем не интересная, простая, только добрая мать семейства."
Толстой,Анна Каренина,"«Ах, ужасно! ай, ай, ай! ужасно! - твердил себе Степан Аркадьич и ничего не мог придумать.","«Ах, ужасно! - повторял себе Степан Аркадьич. - Что же делать?»"
Толстой,Анна Каренина,"Ответа не было, кроме того общего ответа, который дает жизнь на все самые сложные и неразрешимые вопросы.","Ответа не было, кроме того общего ответа, который дает жизнь на все самые сложные и неразрешимые вопросы."
Толстой,Анна Каренина,"Ответ этот: надо жить потребностями дня, то есть забыться.","Ответ этот: надо жить дальше, то есть забыть всe."
Толстой,Анна Каренина,"«Там видно будет», - сказал себе Степан Аркадьич и, встав, надел серый халат на голубой шелковой подкладке, закинул кисти узлом и, вдоволь забрав воздуха в свой широкий грудной ящик, привычным бодрым шагом вывернутых ног, так легко носивших его полное тело, подошел к окну, поднял стору и громко позвонил.","«Там видно будет», - сказал себе Степан Аркадьич и, встав, надел халат, подошел к окну и громко позвонил."
Толстой,Анна Каренина,"На звонок тотчас же вошел старый друг, камердинер Матвей, неся платье, сапоги и телеграмму.","На звонок вошел старый друг, слуга Матвей, неся платье, сапоги и телеграмму."
Толстой,Анна Каренина,"- Из присутствия есть бумаги? - спросил Степан Аркадьич, взяв телеграмму и садясь к зеркалу.",Степан Аркадьич взял телеграмму и сел к зеркалу.
Толстой,Анна Каренина,"Матвей, сестра Анна Аркадьевна будет завтра.","Матвей, сестра Анна Аркадьевна будет завтра."
Толстой,Анна Каренина,"- Слава Богу, - сказал Матвей, этим ответом показывая, что он понимает так же, как и барин, значение этого приезда, то есть что Анна Аркадьевна, любимая сестра Степана Аркадьича, может содействовать примирению мужа с женой.","- Слава Богу, - сказал Матвей, этим ответом показывая, что он понимает так же, как и хозяин, значение этого приезда, то есть что Анна Аркадьевна, любимая сестра Степана Аркадьича, может помочь примирению мужа с женой."
Толстой,Анна Каренина,"- И вот возьми телеграмму, передай Дарье Александровне, что они скажут.","- Вот возьми телеграмму, передай Дарье Александровне, что она скажет."
Толстой,Анна Каренина,"Степан Аркадьич уже был умыт и расчесан и сбирался одеваться, когда Матвей, медленно ступая поскрипывающими сапогами по мягкому ковру, с телеграммой в руке, вернулся в комнату.","Степан Аркадьич уже был умыт и причесан, когда Матвей, с телеграммой в руке, вернулся в комнату."
Толстой,Анна Каренина,"- Дарья Александровна приказали доложить, что они уезжают.","- Дарья Александровна приказала передать, что уезжает."
Толстой,Анна Каренина,Степан Аркадьич помолчал.,Степан Аркадьич помолчал.
Толстой,Анна Каренина,Потом добрая и несколько жалкая улыбка показалась на его красивом лице.,Жалкая улыбка показалась на его красивом лице.
Толстой,Анна Каренина,"Одевшись, Степан Аркадьич прыснул на себя духами, вытянул рукава рубашки, привычным движением рассовал по карманам папиросы, бумажник, спички, часы с двумя цепочками и брелоками и, встряхнув платок, чувствуя себя чистым, душистым, здоровым и физически веселым, несмотря на свое несчастье, вышел, слегка подрагивая на каждой ноге, в столовую, где уже ждал его кофей и, рядом с кофеем, письма и бумаги из министерства.","Одевшись, Степан Аркадьич полил себя духами, привычным движением разложил по карманам папиросы, бумажник, спички, часы с двойной цепочкой и, чувствуя себя чистым, здоровым и физически веселым, несмотря на свое несчастье, вышел в столовую, где уже ждал его кофе, письма и бумаги из министерства."
Толстой,Анна Каренина,"Он сел, прочел письма.",Он прочел письма.
Толстой,Анна Каренина,"Одно было очень неприятное - от купца, покупавшего лес в имении жены.","Одно было очень неприятное - от купца, покупавшего лес, принадлежавший его жене."
Толстой,Анна Каренина,"Лес этот необходимо было продать; но теперь, до примирения с женой, не могло быть о том речи.","Лес этот необходимо было продать, чтобы заплатить долги, но теперь, до примирения с женой, не могло быть о том и речи."
Толстой,Анна Каренина,"Окончив письма, Степан Аркадьич придвинул к себе бумаги из присутствия, быстро перелистовал два дела, большим карандашом сделал несколько отметок и, отодвинув дела, взялся за кофе; за кофеем он развернул еще сырую утреннюю газету и стал читать ее.","Окончив письма, Степан Аркадьич стал пить кофе, открыл утреннюю газету и стал читать ее."
Толстой,Анна Каренина,"Степан Аркадьич получал и читал либеральную газету, не крайнюю, но того направления, которого держалось большинство.","Степан Аркадьич читал либеральную газету того направления, которого держалось большинство."
Толстой,Анна Каренина,"И, несмотря на то, что ни наука, ни искусство, ни политика, собственно, не интересовали его, он твердо держался тех взглядов на все эти предметы, каких держалось большинство и его газета, и изменял их, только когда большинство изменяло их, или, лучше сказать, не изменял их, а они сами в нем незаметно изменялись.","Ни наука, ни искусство, ни политика не интересовали его, но он твердо держался тех взглядов на все эти предметы, каких держалось большинство и его газета."
Толстой,Анна Каренина,"Итак, либеральное направление сделалось привычкой Степана Аркадьича, и он любил свою газету, как сигару после обеда, за легкий туман, который она производила в его голове.","Он любил свою газету, как сигару после обеда."
Толстой,Анна Каренина,"Но сегодня удовольствие это отравлялось воспоминанием о советах Матрены Филимоновны и о том, что в доме так неблагополучно.","Но сегодня удовольствие это сменилось воспоминанием о том, что в доме так неблагополучно."
Толстой,Анна Каренина,"Два детские голоса (Степан Аркадьич узнал голоса Гриши, меньшого мальчика, и Тани, старшей девочки) послышались за дверьми.",Два детских голоса послышались за дверьми.
Толстой,Анна Каренина,"Все смешалось, - подумал Степан Аркадьич, - вон дети одни бегают.","«Все изменилось, - подумал Степан Аркадьич, - и дети одни бегают»."
Толстой,Анна Каренина,"«Все смешалось, - подумал Степан Аркадьич, - вон дети одни бегают». ","Степан Аркадьич взял шляпу и остановился, вспоминая, не забыл ли чего."
Толстой,Анна Каренина,"Оказалось, что он ничего не забыл, кроме того, что хотел забыть, - жену.","Но он ничего не забыл, кроме того, что хотел забыть, - жену."
Толстой,Анна Каренина,«Пойти или не пойти?»,«Пойти или не пойти?»
Толстой,Анна Каренина,"И внутренний голос говорил ему, что ходить не надобно, что, кроме фальши, тут ничего быть не может, что поправить, починить их отношения невозможно, потому что невозможно сделать ее опять привлекательною и возбуждающею любовь или его сделать стариком, не способным любить.","Внутренний голос говорил ему, что ходить не надо, что изменить их отношения невозможно, потому что невозможно сделать ее опять молодой и красивой или его сделать стариком, не способным любить."
Толстой,Анна Каренина,"Кроме фальши и лжи, ничего не могло выйти теперь; а фальшь и ложь были противны его натуре.","Кроме фальши и лжи ничего не могло быть теперь, а фальшь и ложь были ему неприятны."
Толстой,Анна Каренина,"«Однако когда-нибудь нужно; ведь не может же это так остаться», - сказал он, стараясь придать себе смелости.","«Однако когда-нибудь же нужно», - сказал он, стараясь придать себе смелости."
Толстой,Анна Каренина,"Он выпрямил грудь, вынул папироску, закурил, пыхнул два раза, бросил ее в перламутровую раковину-пепельницу, быстрыми шагами прошел мрачную гостиную и отворил другую дверь, в спальню жены.","Он вынул папиросу, закурил, бросил ее в пепельницу, быстрыми шагами прошел гостиную и открыл дверь в спальню жены."
Толстой,Анна Каренина,"Дарья Александровна, в кофточке и с пришпиленными на затылке косами уже редких, когда-то густых и прекрасных волос, с осунувшимся, худым лицом и большими, выдававшимися от худобы лица, испуганными глазами, стояла среди разбросанных по комнате вещей перед открытою шифоньеркой, из которой она выбирала что-то.",Дарья Александровна стояла среди разбросанных по комнате вещей перед открытым шкафом.
Толстой,Анна Каренина,"Услыхав шаги мужа, она остановилась, глядя на дверь и тщетно пытаясь придать своему лицу строгое и презрительное выражение.","Услышав шаги мужа, она остановилась, глядя на дверь, и напрасно хотела придать своему лицу строгое и презрительное выражение."
Толстой,Анна Каренина,Она чувствовала что боится его и боится предстоящего свидания.,"Она чувствовала, что боится встречи с мужем."
Толстой,Анна Каренина,"Она только что пыталась сделать то, что пыталась сделать уже десятый раз в эти три дня: отобрать детские и свои вещи, которые она увезет к матери, - и опять не могла на это решиться.","Она только что начинала уже десятый раз за эти три дня собирать детские и свои вещи, которые она увезет к матери, - и опять не могла на это решиться."
Толстой,Анна Каренина,"Она все еще говорила, что уедет от него, но чувствовала, что это невозможно; это было невозможно потому, что она не могла отвыкнуть считать его своим мужем и любить его.","Она все еще говорила, что уедет от него, но чувствовала, что это невозможно; она не могла отвыкнуть считать его своим мужем и любить его."
Толстой,Анна Каренина,"Увидав мужа, она опустила руки в ящик шифоньерки, будто отыскивая что-то, и оглянулась на него, только когда он совсем вплоть подошел в ней.","Она посмотрела на него только тогда, когда он подошел к ней."
Толстой,Анна Каренина,"Но лицо ее, которому она хотела придать строгое и решительное выражение, выражало потерянность и страдание.",Лицо ее выражало страдание.
Толстой,Анна Каренина,"- Долли! - сказал он тихим, робким голосом.",- Долли! - сказал он тихим голосом.
Толстой,Анна Каренина,"н втянул голову в плечи и хотел иметь жалкий и покорный вид, но он все-таки сиял свежестью и здоровьем.","Он и хотел иметь жалкий и покорный вид, но все-таки сиял свежестью и здоровьем."
Толстой,Анна Каренина,Она быстрым взглядом оглядела с головы до ног его сияющую свежестью и здоровьем фигуру.,Она быстро посмотрела на него с головы до ног.
Толстой,Анна Каренина,"«Да, он счастлив и доволен! - подумала она, - а я?!.»","«Да, он счастлив и доволен! - подумала она. - А я?!»"
Толстой,Анна Каренина,"- Что вам нужно? - сказала она быстрым, не своим, грудным голосом.","- Что вам нужно?- сказала она быстрым, не своим голосом."
Толстой,Анна Каренина,- Долли! - повторил он с дрожанием голоса.,- Долли! - повторил он дрожащим голосом.
Толстой,Анна Каренина,- Анна приедет нынче.,- Анна приедет сегодня.
Толстой,Анна Каренина,- Ну что же мне?,- Ну и что же?
Толстой,Анна Каренина,Я не могу ее принять!,Я не могу ее принять!
Толстой,Анна Каренина,"Уйдите, уйдите, уйдите!",Уйдите!
Толстой,Анна Каренина,"Степан Аркадьич мог быть спокоен, когда он думал о жене, мог надеяться, что все образуется, по выражению Матвея, и мог спокойно читать газету и пить кофе; но когда он увидал ее измученное, страдальческое лицо, услыхал этот звук голоса, покорный и отчаянный, ему захватило дыхание, что-то подступило к горлу, и глаза его заблестели слезами.","Степан Аркадьич мог быть спокоен, когда думал о жене, мог спокойно читать газету и пить кофе; но когда он увидел ее измученное, страдающее лицо, услышал этот звук голоса, у него на глазах появились слезы."
Толстой,Анна Каренина,"- Боже мой, что я сделал!","- Боже мой, что я сделал!"
Толстой,Анна Каренина,Долли!,Долли!
Толстой,Анна Каренина,Ради Бога!..,Ради Бога!
Толстой,Анна Каренина,"Долли, что я могу сказать?",Что я могу сказать...
Толстой,Анна Каренина,"Одно: прости, прости...","Одно: прости, прости…"
Толстой,Анна Каренина,"Вспомни, разве девять лет жизни не могут искупить минуты, минуты...","Вспомни, разве девять лет жизни не могут простить минуты…"
Толстой,Анна Каренина,"Она стояла, опустив глаза, и слушала, ожидая, что он скажет, как будто умоляя его о том, чтобы он как-нибудь разуверил ее.","Она опустила глаза и слушала, как будто просила его о том, чтобы он как-нибудь сказал ей, что это неправда"
Толстой,Анна Каренина,"- Минуты... минуты увлеченья... - выговорил он и хотел продолжать, но при этом слове, будто от физической боли, опять поджались ее губы и опять запрыгал мускул щеки на правой стороне лица.",- Минуты… увлечения… - выговорил он.
Толстой,Анна Каренина,"- Уйдите, уйдите отсюда! - закричала она еще пронзительнее.",- Уйдите отсюда! - закричала она еще громче.
Толстой,Анна Каренина,"- И не говорите мне про ваши увлечения, про ваши мерзости!", - И не говорите мне про ваши увлечения!
Толстой,Анна Каренина,"- Долли! - проговорил он, уже всхлипывая.",- Долли! - проговорил он со слезами на глазах.
Толстой,Анна Каренина,"- Ради Бога, подумай о детях, они не виноваты.","- Подумай о детях, они не виноваты."
Толстой,Анна Каренина,"Я виноват, и накажи меня, вели мне искупить свою вину.","Я виноват, так накажи меня."
Толстой,Анна Каренина,Она села.,Она села.
Толстой,Анна Каренина,"Он слышал ее тяжелое, громкое дыхание, и ему было невыразимо жалко ее. ","Он слышал ее тяжелое дыхание, и ему было очень жалко ее."
Толстой,Анна Каренина,"- Ты помнишь детей, чтоб играть с ними, а я помню и знаю, что они погибли теперь, - сказала она.","- Ты помнишь детей, чтобы играть с ними, а я знаю, что они погибли теперь, - сказала она."
Толстой,Анна Каренина,"Она сказала ему «ты», и он с благодарностью взглянул на нее и тронулся, чтобы взять ее руку, но она с отвращением отстранилась от него.","Она сказала ему «ты», и он с благодарностью взглянул на нее и хотел взять ее руку, но она отошла от него."
Толстой,Анна Каренина,"- Я помню про детей и поэтому все в мире сделала бы, чтобы спасти их; но я сама не знаю, чем я спасу их: тем ли, что увезу от отца, или тем, что оставлю с развратным отцом, - да, с развратным отцом...","- Я помню про детей; но я сама не знаю, чем я спасу их: тем ли, что увезу от отца, или тем, что оставлю с развратным отцом…"
Толстой,Анна Каренина,"Ну, скажите, после того... что было, разве возможно нам жить вместе?","Ну, скажите, после того… что было, возможно ли нам жить вместе?"
Толстой,Анна Каренина,"Вы никогда не любили меня; в вас нет ни сердца, ни благородства!","Вы никогда не любили меня; в вас нет ни сердца, ни благородства!"
Толстой,Анна Каренина,"Вы мне мерзки, гадки, чужой, да, чужой! - с болью и злобой произносила она это ужасное для себя слово чужой.",Вы мне чужой! - с болью и злобой сказала она.
Толстой,Анна Каренина,"Он поглядел не нее, и злоба, выразившаяся в ее лице, испугала и удивила его.","Он поглядел на нее, и злоба на ее лице испугала и удивила его."
Толстой,Анна Каренина,"В это время в другой комнате, вероятно упавши, закричал ребенок; Дарья Александровна прислушалась, и лицо ее вдруг смягчилось.","В это время в другой комнате закричал ребенок; Дарья Александровна услышала его голос, и лицо ее вдруг смягчилось."
Толстой,Анна Каренина,"Она, видимо, опомнилась несколько секунд, как бы не зная, где она и что ей делать, и, быстро вставши, тронулась к двери.","Быстро встав, она пошла к двери."
Толстой,Анна Каренина,"- Долли, еще одно слово.","- Долли, еще одно слово."
Толстой,Анна Каренина,"- Если вы пойдете за мной, я позову людей, детей!","- Если вы пойдете за мной, я позову людей, детей!"
Толстой,Анна Каренина,"Пускай все знают, что вы подлец!","Пускай все знают, что вы низкий человек!"
Толстой,Анна Каренина,"Я уезжаю нынче, а вы живите здесь с своею любовницей!","Я уезжаю сегодня, а вы живите здесь со своей любовницей!"
Толстой,Анна Каренина,"И она вышла, хлопнув дверью.","И она вышла, с силой закрыв дверь."
Толстой,Анна Каренина,"Степан Аркадьич вздохнул, отер лицо и тихими шагами пошел из комнаты.",Степан Аркадьич вздохнул и тихими шагами вышел из комнаты.
Толстой,Анна Каренина,"«Ах, ах, какой ужас! И как тривиально она кричала, - говорил он сам себе, вспоминая ее крик и слов","«Ах, какой ужас! И как она кричала», - говорил он сам себе, вспоминая ее крик и слова."
